2020-6-12T11:41Z,5,North Bethesda;MD,31.65,2.61,DoorDashNorth Bethesda;MD31.652020-6-12T11:41Z2020-6-12T13:36Z5,2020-6-12T13:36Z,16.51
2020-6-2T17:01Z,3,North Bethesda;MD,36.50,1.55,DoorDashNorth Bethesda;MD36.502020-6-2T17:01Z2020-6-2T18:57Z3,2020-6-2T18:57Z,18.88
2020-5-24T17:00Z,4,North Bethesda;MD,41.80,1.49,DoorDashNorth Bethesda;MD41.802020-5-24T17:00Z2020-5-24T19:41Z4,2020-5-24T19:41Z,15.58
2020-6-10T11:36Z,4,North Bethesda;MD,41.25,1.89,DoorDashNorth Bethesda;MD41.252020-6-10T11:36Z2020-6-10T13:43Z4,2020-6-10T13:43Z,19.49
2020-5-27T17:25Z,3,North Bethesda;MD,36.75,1.12,DoorDashNorth Bethesda;MD36.752020-5-27T17:25Z2020-5-27T20:06Z3,2020-5-27T20:06Z,13.70
2020-6-9T17:04Z,5,North Bethesda;MD,55.20,1.92,DoorDashNorth Bethesda;MD55.202020-6-9T17:04Z2020-6-9T19:40Z5,2020-6-9T19:40Z,21.23
2020-5-14T17:22Z,3,North Bethesda;MD,33.75,1.17,DoorDashNorth Bethesda;MD33.752020-5-14T17:22Z2020-5-14T19:56Z3,2020-5-14T19:56Z,13.15
2020-5-19T16:45Z,3,North Bethesda;MD,30.25,1.08,DoorDashNorth Bethesda;MD30.252020-5-19T16:45Z2020-5-19T19:31Z3,2020-5-19T19:31Z,10.93
2020-6-11T17:05Z,3,North Bethesda;MD,19.25,1.65,DoorDashNorth Bethesda;MD19.252020-6-11T17:05Z2020-6-11T18:54Z3,2020-6-11T18:54Z,10.60
2020-7-28T18:20Z,2,North Bethesda;MD,25.00,1.08,DoorDashNorth Bethesda;MD25.002020-7-28T18:20Z2020-7-28T20:11Z2,2020-7-28T20:11Z,13.51
2020-5-13T16:29Z,4,North Bethesda;MD,40.50,1.32,DoorDashNorth Bethesda;MD40.502020-5-13T16:29Z2020-5-13T19:31Z4,2020-5-13T19:31Z,13.35
2020-5-28T12:26Z,1,North Bethesda;MD,9.00,2.31,DoorDashNorth Bethesda;MD9.002020-5-28T12:26Z2020-5-28T12:52Z1,2020-5-28T12:52Z,20.77
2020-8-2T18:25Z,1,North Bethesda;MD,6.50,1.13,DoorDashNorth Bethesda;MD6.502020-8-2T18:25Z2020-8-2T19:18Z1,2020-8-2T19:18Z,7.36
2020-5-28T12:59Z,1,North Bethesda;MD,10.00,1.30,DoorDashNorth Bethesda;MD10.002020-5-28T12:59Z2020-5-28T13:45Z1,2020-5-28T13:45Z,13.04
